06-10-2016, 17:34:19.00380 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:19.00580 (000203ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:19.00580 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:19.00580 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:19.00580 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:22.00540 (002964ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:22.00540 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:22.00540 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:22.00540 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:32.00038 (009500ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:32.00038 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (011108ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00156 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000187ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00343 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00446 (000109ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 17:34:43.00446 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
